episode,reward,moving_avg_50
959,2.0,2.59
960,4.0,2.65
961,2.0,2.63
962,2.0,2.61
963,4.0,2.67
964,2.0,2.59
965,2.0,2.61
966,2.0,2.65
967,3.0,2.63
968,3.0,2.61
969,3.0,2.67
970,2.0,2.65
971,1.0,2.65
972,1.0,2.63
973,-1.5,2.52
974,5.0,2.6
975,3.0,2.6
976,3.0,2.58
977,1.0,2.52
978,5.0,2.56
979,5.0,2.62
980,1.0,2.56
981,-0.5,2.49
982,5.0,2.51
983,0.0,2.41
984,3.0,2.45
985,2.0,2.47
986,3.0,2.43
987,2.0,2.47
988,2.0,2.56
989,2.0,2.52
990,2.0,2.56
991,2.0,2.5
992,5.0,2.52
993,3.0,2.5
994,5.0,2.54
995,2.0,2.59
996,4.0,2.7
997,6.0,2.76
998,1.0,2.76
999,0.0,2.72
1000,3.0,2.74
